Loading rate (kg/day),,,,,,
,,,,,,
Hour,Day,Vedows_grass combo,Actual_grass,PM,Total,Biogas
4,23/04/2020,68,25.16,100,168,3.15
5,23/04/2020,39,14.43,,39,2.62
6,23/04/2020,68,25.16,100,168,7.36
7,23/04/2020,58,21.46,100,158,7.73
8,23/04/2020,68,25.16,,68,5.72
9,23/04/2020,86,31.82,,86,2.47
10,23/04/2020,61,22.57,,61,6.9
11,23/04/2020,77,28.49,,77,7.7
12,23/04/2020,88,32.56,,88,7.68
13,23/04/2020,77,28.49,,77,6.16
14,23/04/2020,58,21.46,,58,2.36
15,23/04/2020,86,31.82,,86,6.96
16,23/04/2020,67,24.79,,67,8.07
17,23/04/2020,68,25.16,100,168,7.02
18,23/04/2020,77,28.49,,77,2.49
19,23/04/2020,68,25.16,100,168,4.36
20,23/04/2020,68,25.16,,68,7.72
21,23/04/2020,28,10.36,100,128,7.61
22,23/04/2020,67,24.79,,67,2.59
23,23/04/2020,48,17.76,100,148,3.55
0,24/04/2020,99,36.63,,99,7.5
1,24/04/2020,68,25.16,100,168,7
2,24/04/2020,86,31.82,,86,2.56
3,24/04/2020,67,24.79,100,167,4.21
4,24/04/2020,88,32.56,,88,7.6
5,24/04/2020,67,24.79,100,167,7.71
6,24/04/2020,57,21.09,,57,4.17
7,24/04/2020,66,24.42,100,166,2.56
8,24/04/2020,58,21.46,,58,7.29
9,24/04/2020,58,21.46,100,158,7.72
10,24/04/2020,19,7.03,,19,5.14
11,24/04/2020,57,21.09,100,157,2.44
12,24/04/2020,68,25.16,,68,7.35
13,24/04/2020,67,24.79,115,182,7.81
14,24/04/2020,32,11.84,,32,7.49
15,24/04/2020,145,53.65,100,245,2.34
16,24/04/2020,77,28.49,,77,4.98
17,24/04/2020,77,28.49,100,177,7.77
18,24/04/2020,76,28.12,,76,7.69
19,24/04/2020,136,50.32,200,336,2.54
20,24/04/2020,104,38.48,,104,3.48
21,24/04/2020,58,21.46,100,158,7.52
22,24/04/2020,68,25.16,,68,7.72
23,24/04/2020,77,28.49,100,177,2.77
0,25/04/2020,51,18.87,,51,3.2
1,25/04/2020,78,28.86,100,178,7.44
2,25/04/2020,39,14.43,,39,7.68
3,25/04/2020,48,17.76,100,148,4.09
4,25/04/2020,48,17.76,,48,2.55
5,25/04/2020,58,21.46,100,158,6.67
6,25/04/2020,39,14.43,,39,7.69
7,25/04/2020,87,32.19,100,187,5.83
8,25/04/2020,143,52.91,100,243,2.5
9,25/04/2020,68,25.16,,68,4.1
10,25/04/2020,49,18.13,100,149,7.63
11,25/04/2020,97,35.89,,97,7.76
12,25/04/2020,77,28.49,100,177,5.8
13,25/04/2020,77,28.49,,77,2.44
14,25/04/2020,119,44.03,100,219,2.46
15,25/04/2020,,0,,0,2.35
16,25/04/2020,39,14.43,100,139,2.47
17,25/04/2020,,0,,0,2.57
18,25/04/2020,,0,,0,2.61
19,25/04/2020,,0,,0,2.68
20,25/04/2020,96,35.52,100,196,2.78
21,25/04/2020,58,21.46,,58,4.54
22,25/04/2020,77,28.49,100,177,7.38
23,25/04/2020,125,46.25,,125,7.55
0,26/04/2020,104,38.48,100,204,7.55
1,26/04/2020,77,28.49,,77,7.57
2,26/04/2020,77,28.49,100,177,7.56
3,26/04/2020,98,36.26,,98,7.57
4,26/04/2020,96,35.52,100,196,7.58
5,26/04/2020,108,39.96,,108,7.58
6,26/04/2020,68,25.16,100,168,7.6
7,26/04/2020,67,24.79,,67,7.6
8,26/04/2020,222,82.14,35,257,7.57
9,26/04/2020,76,28.12,,76,7.54
10,26/04/2020,86,31.82,,86,7.59
11,26/04/2020,58,21.46,,58,7.48
12,26/04/2020,67,24.79,,67,4.09
13,26/04/2020,58,21.46,,58,3.98
14,26/04/2020,68,25.16,,68,7.68
15,26/04/2020,81,29.97,,81,7.94
16,26/04/2020,58,21.46,,58,7.8
17,26/04/2020,29,10.73,,29,4.26
18,26/04/2020,48,17.76,,48,2.59
19,26/04/2020,49,18.13,,49,7.2
20,26/04/2020,76,28.12,,76,7.57
21,26/04/2020,29,10.73,,29,6.39
22,26/04/2020,28,10.36,,28,2.58
23,26/04/2020,57,21.09,,57,3.99
0,27/04/2020,29,10.73,,29,7.43
1,27/04/2020,0,0,,0,7.58
2,27/04/2020,47,17.39,,47,6.17
3,27/04/2020,58,21.46,,58,2.53
4,27/04/2020,49,18.13,,49,3.91
5,27/04/2020,58,21.46,,58,7.44
6,27/04/2020,29,10.73,,29,7.57
7,27/04/2020,57,21.09,,57,5.85
8,27/04/2020,10,3.7,,10,2.49
9,27/04/2020,29,10.73,,29,5.53
10,27/04/2020,19,7.03,,19,7.53
11,27/04/2020,58,21.46,,58,7.49
12,27/04/2020,,0,,0,5.21
13,27/04/2020,68,25.16,,68,2.43
14,27/04/2020,96,35.52,,96,5.81
15,27/04/2020,76,28.12,,76,7.75
16,27/04/2020,87,32.19,,87,6.53
17,27/04/2020,77,28.49,,77,2.43
18,27/04/2020,78,28.86,,78,3.8
19,27/04/2020,96,35.52,,96,7.42
20,27/04/2020,97,35.89,,97,7.42
21,27/04/2020,261,96.57,,261,2.57
22,27/04/2020,76,28.12,,76,2.92
23,27/04/2020,77,28.49,,77,7.21
0,28/04/2020,77,28.49,,77,7.54
1,28/04/2020,77,28.49,,77,7.56
2,28/04/2020,77,28.49,,77,2.61
3,28/04/2020,87,32.19,,87,3.65
4,28/04/2020,81,29.97,,81,7.4
5,28/04/2020,68,25.16,,68,7.54
6,28/04/2020,95,35.15,,95,7.54
7,28/04/2020,48,17.76,,48,3.41
8,28/04/2020,69,25.53,,69,2.53
9,28/04/2020,67,24.79,,67,5.81
10,28/04/2020,,0,,0,2.81
11,28/04/2020,,0,,0,2.51
12,28/04/2020,,0,,0,2.54
13,28/04/2020,,0,,0,2.53
14,28/04/2020,,0,,0,2.51
15,28/04/2020,,0,,0,2.5
16,28/04/2020,48,17.76,,48,5.69
17,28/04/2020,67,24.79,,67,7.53
18,28/04/2020,49,18.13,,49,7.5
19,28/04/2020,96,35.52,,96,7.49
20,28/04/2020,261,96.57,,261,7.47
21,28/04/2020,52,19.24,,52,7.51
22,28/04/2020,67,24.79,,67,7.51
23,28/04/2020,78,28.86,,78,7.51
0,29/04/2020,77,28.49,,77,7.51
1,29/04/2020,67,24.79,,67,7.53
2,29/04/2020,28,10.36,,28,7.54
3,29/04/2020,67,24.79,,67,5.97
4,29/04/2020,77,28.49,,77,2.54
5,29/04/2020,28,10.36,,28,4.65
6,29/04/2020,57,21.09,,57,7.44
7,29/04/2020,58,21.46,,58,7.54
8,29/04/2020,39,14.43,,39,4.52
9,29/04/2020,48,17.76,,48,2.55
10,29/04/2020,29,10.73,,29,6.16
11,29/04/2020,19,7.03,,19,7.52
12,29/04/2020,38,14.06,,38,7.55
13,29/04/2020,29,10.73,,29,3.49
14,29/04/2020,41,15.17,,41,3.18
15,29/04/2020,57,21.09,,57,7.47
16,29/04/2020,77,28.49,,77,7.55
17,29/04/2020,77,28.49,,77,3.02
18,29/04/2020,67,24.79,,67,2.64
19,29/04/2020,106,39.22,,106,6.42
20,29/04/2020,58,21.46,,58,7.44
21,29/04/2020,67,24.79,,67,5.43
22,29/04/2020,87,32.19,,87,2.58
23,29/04/2020,67,24.79,,67,4.52
0,30/04/2020,96,35.52,,96,7.44
1,30/04/2020,58,21.46,,58,7.54
2,30/04/2020,57,21.09,,57,3.33
3,30/04/2020,98,36.26,,98,2.55
4,30/04/2020,67,24.79,,67,6.91
5,30/04/2020,85,31.45,,85,7.46
6,30/04/2020,105,38.85,,105,6.25
7,30/04/2020,67,24.79,,67,2.56
8,30/04/2020,88,32.56,,88,3.37
9,30/04/2020,29,10.73,,29,7.28
10,30/04/2020,-10,-3.7,,-10,7.44
11,30/04/2020,0,0,,0,6.66
12,30/04/2020,0,0,,0,2.51
13,30/04/2020,39,14.43,,39,4.95
14,30/04/2020,49,18.13,,49,7.56
15,30/04/2020,39,14.43,,39,7.11
16,30/04/2020,39,14.43,,39,2.54
17,30/04/2020,39,14.43,,39,3.22
18,30/04/2020,38,14.06,,38,7.12
19,30/04/2020,29,10.73,,29,6.59
20,30/04/2020,29,10.73,,29,2.61
21,30/04/2020,39,14.43,,39,2.68
22,30/04/2020,23,8.51,,23,4.41
23,30/04/2020,22,8.14,125,147,7.33
0,1/05/2020,29,10.73,,29,4.56
1,1/05/2020,29,10.73,125,154,2.58
2,1/05/2020,58,21.46,,58,2.6
3,1/05/2020,57,21.09,125,182,6.39
4,1/05/2020,38,14.06,,38,7.45
5,1/05/2020,39,14.43,125,164,4.44
6,1/05/2020,39,14.43,,39,2.57
7,1/05/2020,39,14.43,125,164,5.35
8,1/05/2020,39,14.43,,39,7.46
9,1/05/2020,47,17.39,125,172,7.49
10,1/05/2020,48,17.76,,48,4.5
11,1/05/2020,39,14.43,125,164,2.53
12,1/05/2020,38,14.06,,38,6.48
13,1/05/2020,48,17.76,125,173,7.5
14,1/05/2020,39,14.43,,39,7.59
15,1/05/2020,71,26.27,125,196,3.61
16,1/05/2020,68,25.16,,68,3.26
17,1/05/2020,68,25.16,125,193,7.36
18,1/05/2020,68,25.16,,68,7.49
19,1/05/2020,87,32.19,125,212,6.69
20,1/05/2020,48,17.76,,48,2.57
21,1/05/2020,58,21.46,125,183,4.17
22,1/05/2020,38,14.06,,38,7.38
23,1/05/2020,29,10.73,125,154,7.49
0,2/05/2020,29,10.73,,29,2.57
1,2/05/2020,38,14.06,125,163,3.85
2,2/05/2020,49,18.13,,49,7.39
3,2/05/2020,48,17.76,125,173,7.52
4,2/05/2020,29,10.73,,29,6.57
5,2/05/2020,38,14.06,125,163,2.54
6,2/05/2020,39,14.43,,39,4.52
7,2/05/2020,29,10.73,125,154,7.44
8,2/05/2020,58,21.46,,58,7.51
9,2/05/2020,28,10.36,125,153,3.69
10,2/05/2020,48,17.76,,48,2.81
11,2/05/2020,39,14.43,125,164,7.21
12,2/05/2020,29,10.73,,29,7.51
13,2/05/2020,39,14.43,125,164,7.57
14,2/05/2020,49,18.13,,49,5.5
15,2/05/2020,48,17.76,125,173,2.37
16,2/05/2020,26,9.62,250,276,6.89
17,2/05/2020,48,17.76,,48,7.58
18,2/05/2020,58,21.46,125,183,7.51
19,2/05/2020,30,11.1,,30,3.75
20,2/05/2020,39,14.43,125,164,2.57
21,2/05/2020,58,21.46,,58,6.61
22,2/05/2020,29,10.73,125,154,7.57
23,2/05/2020,39,14.43,,39,7.1
0,3/05/2020,39,14.43,125,164,2.52
1,3/05/2020,28,10.36,,28,3.43
2,3/05/2020,29,10.73,125,154,7.39
3,3/05/2020,29,10.73,,29,7.57
4,3/05/2020,52,19.24,125,177,7.29
5,3/05/2020,29,10.73,,29,2.5
6,3/05/2020,28,10.36,125,153,3.92
7,3/05/2020,28,10.36,,28,7.45
8,3/05/2020,48,17.76,125,173,7.58
9,3/05/2020,58,21.46,,58,5.26
10,3/05/2020,57,21.09,125,182,2.47
11,3/05/2020,47,17.39,,47,6.16
12,3/05/2020,48,17.76,125,173,7.57
13,3/05/2020,49,18.13,,49,7.61
14,3/05/2020,19,7.03,125,144,7.59
15,3/05/2020,30,11.1,,30,2.47
16,3/05/2020,29,10.73,125,154,3.03
17,3/05/2020,29,10.73,,29,7.4
18,3/05/2020,29,10.73,125,154,7.58
19,3/05/2020,19,7.03,,19,5.25
20,3/05/2020,77,28.49,375,452,2.52
21,3/05/2020,20,7.4,,20,5.27
22,3/05/2020,38,14.06,125,163,7.51
23,3/05/2020,19,7.03,,19,7.57
0,4/05/2020,39,14.43,125,164,3.27
1,4/05/2020,39,14.43,,39,2.53
2,4/05/2020,48,17.76,125,173,7.16
3,4/05/2020,57,21.09,,57,7.55
4,4/05/2020,39,14.43,125,164,7.33
5,4/05/2020,29,10.73,,29,2.49
6,4/05/2020,39,14.43,125,164,3.28
7,4/05/2020,18,6.66,,18,7.37
8,4/05/2020,48,17.76,125,173,7.57
9,4/05/2020,47,17.39,,47,5.4
10,4/05/2020,39,14.43,125,164,2.52
11,4/05/2020,68,25.16,,68,5.83
12,4/05/2020,39,14.43,125,164,7.59
13,4/05/2020,58,21.46,,58,7.67
14,4/05/2020,61,22.57,125,186,7.76
15,4/05/2020,49,18.13,,49,7.66
16,4/05/2020,58,21.46,125,183,2.4
17,4/05/2020,58,21.46,,58,5.12
18,4/05/2020,67,24.79,125,192,7.58
19,4/05/2020,58,21.46,,58,7.58
20,4/05/2020,67,24.79,125,192,7.52
21,4/05/2020,67,24.79,,67,2.59
22,4/05/2020,77,28.49,125,202,3.69
23,4/05/2020,,0,,0,7.39
0,5/05/2020,58,21.46,125,183,7.55
1,5/05/2020,77,28.49,,77,7.54
2,5/05/2020,76,28.12,,76,7.52
3,5/05/2020,81,29.97,125,206,2.62
4,5/05/2020,77,28.49,,77,4.28
5,5/05/2020,67,24.79,125,192,7.44
6,5/05/2020,68,25.16,,68,7.54
7,5/05/2020,68,25.16,125,193,7.53
8,5/05/2020,67,24.79,,67,4.87
9,5/05/2020,68,25.16,125,193,2.64
10,5/05/2020,77,28.49,,77,7.31
11,5/05/2020,68,25.16,125,193,7.55
12,5/05/2020,77,28.49,115,192,7.53
13,5/05/2020,,0,125,125,7.65
14,5/05/2020,,0,,0,7.76
15,5/05/2020,,0,125,125,4.5
16,5/05/2020,,0,,0,3.09
17,5/05/2020,,0,125,125,7.54
18,5/05/2020,,0,,0,7.59
19,5/05/2020,,0,125,125,7.55
20,5/05/2020,,0,,0,7.55
21,5/05/2020,,0,125,125,3.86
22,5/05/2020,,0,,0,2.68
23,5/05/2020,,0,125,125,7.15
